Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:06:55,2024-05-16 15:07:26,0:00:30.621750,6968.10800234789,100.00%
2024-05-16 15:20:44,2024-05-16 15:21:01,0:00:16.739175,6930.541968303658,100.00%
2024-05-16 15:34:39,2024-05-16 15:35:25,0:00:46.150561,7179.416943846608,100.00%
2024-05-16 15:50:30,2024-05-16 15:50:52,0:00:22.814011,6788.886714928596,100.00%
2024-05-16 16:14:27,2024-05-16 16:14:45,0:00:17.582276,7057.718646057532,100.00%
2024-05-16 16:26:43,2024-05-16 16:26:54,0:00:11.486914,6835.061631774615,94.00%
2024-05-16 16:26:43,2024-05-16 16:27:00,0:00:17.374968,5587.947564077485,26.69%
2024-05-16 16:39:14,2024-05-16 16:39:29,0:00:14.901790,6896.889062805724,100.00%
2024-05-16 17:06:00,2024-05-16 17:06:21,0:00:20.917885,6938.759538250831,100.00%
2024-05-16 17:17:43,2024-05-16 17:17:57,0:00:13.621756,7020.543924867944,100.00%
2024-05-16 18:55:02,2024-05-16 18:56:09,0:01:07.474339,6816.278614752465,100.00%
