Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:05:37,2024-05-16 15:05:51,0:00:14.453677,7028.370181960481,100.00%
2024-05-16 15:18:44,2024-05-16 15:19:19,0:00:34.876011,6817.061240461749,100.00%
2024-05-16 15:42:02,2024-05-16 15:43:32,0:01:30.210637,6774.016826452753,100.00%
2024-05-16 15:55:10,2024-05-16 15:55:42,0:00:32.550015,6932.889845431432,100.00%
2024-05-16 16:19:57,2024-05-16 16:20:08,0:00:11.210911,7295.245548816292,100.00%
2024-05-16 16:31:10,2024-05-16 16:31:18,0:00:07.790385,6748.581490901988,88.51%
2024-05-16 16:41:08,2024-05-16 16:41:21,0:00:12.782421,6999.804343572698,100.00%
2024-05-16 17:07:49,2024-05-16 17:08:09,0:00:19.886884,6934.846409704566,100.00%
2024-05-16 17:12:58,2024-05-16 17:13:12,0:00:14.371256,7074.153785951881,100.00%
2024-05-16 18:46:58,2024-05-16 18:48:14,0:01:15.974712,6314.224222265728,100.00%
