Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 01:55:14,2024-05-16 01:55:37,0:00:22.895339,6999.4130307180585,61.00%
2024-05-16 14:51:20,2024-05-16 14:51:42,0:00:21.742803,7001.760907845825,68.28%
