,sum_sq,df,F,PR(>F)
C(Configuration),5734.1734772017035,1.0,25.813005165253383,2.790974045186338e-06
C(Condition),54.8999299368713,3.0,0.08237933392765516,0.9694216443319751
C(Configuration):C(Condition),615.9499749411741,3.0,0.9242552536361491,0.43349269292585235
Residual,16216.425059999998,73.0,,
