,sum_sq,df,F,PR(>F)
C(Configuration),667433.4575863361,1.0,7.726360695260941,0.006916560839988201
C(Condition),118654.96857936654,3.0,0.4578589196713793,0.7125658879238521
C(Configuration):C(Condition),143075.3265973801,3.0,0.5520907826433638,0.6483546048730064
Residual,6306027.420346447,73.0,,
